mol_id	name	n_atoms	formula	smiles
135121768_13		7	O6S	O=S1(=O)OOOO1
135126476_20		15	C5F8O2	FC1=C(F)OC(C(F)(F)F)(C(F)(F)F)O1
135132197_30		23	C7H9N7	N/N=c1/ccc(-n2nccc2N)n[nH]1
135134090_49		11	C4HN5O	O=C1N=NN=C2N=CN=C12
135138059_5		34	C9H21PS3	CCCSP(=S)(CC)SC(C)(C)C
135151686_2		37	C10H15Cl3N4O2S3	CN(C)/N=C1\S/C(=N/OC(=O)N(C)SC(Cl)(Cl)Cl)C(C)(C)S1
135152128_43		47	C17H21N5S4	NCC1C=CC=C2C1=NSN2CCSSCCN1SN=C2CC=CC=C21
135155996_47		26	C8H12F4O2	CCOC1(O)C(C)(C)C(F)(F)C1(F)F
135156457_5		42	C11H23N2O4PS	CC(C)S(=O)(=O)OP(=O)(N1CCCC1)N1CCCC1
135157309_13		9	C2H2N3O2	O=c1[n-]c(=O)[nH][nH]1
135157883_1		36	C21H15	[CH2+]C12C=CC=CC1=CC1C=Cc3cccc4ccc2c1c34
135160010_45		44	C15H26N2O	[O-][N+]12CCCC[C@H]1[C@@H]1C[C@H](C2)[C@H]2CCCCN2C1
135160154_26		16	C7H4N2S3	S=c1cc(-c2cnccn2)ss1
135161106_22		30	C12H15ClN2	NC1=CCC(Cl)(NC2C=CCC=C2)C=C1
135162741_11		48	C20H24O4	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(OO)[C@H]3CC[C@@]21C
135165341_30		35	C18H10N4O3	[O-][n+]1cc2c3c[n+]([O-])c4ccccc4c3[n+]([O-])nc2c2ccccc21
135169088_13		11	O6S5	O=S(=O)([O-])SSSS(=O)(=O)[O-]
135171041_11		14	C3H5N2O3P	O=P(O)(O)n1ccnc1
135173394_15		12	C3H4Cl2NOP	N#CCCOP(Cl)Cl
135173909_38		31	C9H17NO3S	CC(=O)SC(CC(=O)[O-])C[N+](C)(C)C
135174500_26		38	C11H19N2O4PS	CCOP(=S)(OCC)Oc1ccc(OC(C)C)nn1
135178719_21		25	C5H13NO4S2	C[N+](C)(C)S(=O)(=O)[CH-]S(C)(=O)=O
135185475_48		23	C8H8N6S	c1nc2nc[nH]c(SC3=NCCN3)c-2n1
135191896_47		28	C8H19P	CC(CP)CC(C)(C)C
135197757_45		24	C10H6O2S6	O=C1CC(=S)SC(S)=C1C1C(=O)CC(=S)SC1=S
135205572_15		9	CCl7P	ClC(Cl)(Cl)P(Cl)(Cl)(Cl)Cl
135206886_23		23	C6H9N5O3	Cn1c(NN)c(N=O)c(=O)n(C)c1=O
135209343_23		15	C4Cl2F7IO	FC(F)(Cl)C(F)(Cl)OC(F)(F)C(F)(F)I
135221636_10		36	C12H17N5OS	O=S1CCN(c2nc(NC3CC3)nc(C3CC3)n2)C1
135224312_10		28	C13H8FN3S3	N#CCSc1snc(SCc2ccc(F)cc2)c1C#N
135227766_8		24	C13H9NO	C1=c2ccccc2=c2ccccc2=NO1
135232664_9		10	O6P4	O1P2OP3OP1OP(O2)O3
135238457_37		13	C4H2N4O3	Oc1nc(O)c2nnoc2n1
135238764_23		45	C23H20NO	C[N+](C)=C1C=CC(=C2C=C(c3ccccc3)Oc3ccccc32)C=C1
135238882_8		15	C3H3N5O3S	N=C1NS(=O)(=O)N=C2NON=C12
135239137_38		26	C7H15N3P	C[N+]12CN3CN(CP(C3)C1)C2
135239655_29		20	C9H6O5	O=C1OC2C=CC1C1C(=O)OC(=O)C21
135239824_15		8	C2Cl4OS	O=S(Cl)C(Cl)=C(Cl)Cl
135245199_37		47	C20H22N2O3	OC1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@@H]43)OCO7
135246563_22		16	C4BrF10N	FC(F)(F)N(C(F)(F)F)C(F)(F)C(F)(F)Br
135247520_21		44	C16H13N4O9PS	O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1/N=N/c1cccc(P(=O)(O)O)c1
135247919_11		18	C4H6N4O4	NC(=O)NC(=O)NC(=O)C(N)=O
135249279_9		35	C14H16N2O2S	O=C=NCCCCCCSc1ccccc1N=C=O
135250018_0		15	C7H7N	C1=C\C=C/N=C\C=C/1
135251666_41		48	C21H22O5	C/C=C/C1=CC2=CC3=C(C(=O)CCCCC)C(=O)O[C@@]3(C)C(=O)C2=CO1
135259556_38		8	CHN6	N#[N+]c1nnn[nH]1
135262164_42		3	S3	[S-]S[S-]
135265525_15		20	C4H2F10N2O2	[O-][NH+](C(F)(F)F)C(F)(F)C(F)(F)[NH+]([O-])C(F)(F)F
135271232_18		11	H6N3PS	NP(N)(N)=S
135275423_2		27	C13H10N2O2	N/C(=N\O)c1cc2c(ccc3ccccc32)o1
135278702_11		41	C19H18O2S2	C1=CC23COC4=CC5(CC6=COCC64C2=CC=C1C3)SCCS5
135284252_21		21	C9H12	C=C1CCC(=C)C(=C)C1
135297162_26		30	C9H10BrN2O7P	O=c1[nH]c([C@H]2C[C@@H]3OP(=O)(O)OC[C@H]3O2)c(Br)c(=O)[nH]1
135298035_16		28	C10H9Cl9	ClC[C@@]1(C(Cl)Cl)[C@@H]2CC(Cl)(Cl)[C@@]1(C(Cl)Cl)CC2(Cl)Cl
135329405_28		7	CHN3S2	[N-]=[N+]=NC(=S)S
135336993_33		39	C10H20N6OS2	CCOC(C)C(/C=N/NC(=S)NC)=N\NC(=S)NC
135339340_15		11	C3Cl6O2	O=C(OC(Cl)(Cl)Cl)C(Cl)(Cl)Cl
135343509_0		12	H3NO6S2	N=S(=O)(O)OS(=O)(=O)O
135347311_26		40	C20H16N4	C1=C/C2=C/c3ccc([nH]3)Cc3ccc([nH]3)/C=c3/cc/c([nH]3)=C/C1=N2
135354487_12		11	P4S7	S=P12SP3SP(SP(S3)S1)S2
136352619_0		34	C14H16Cl2NO	CC(C)[NH2+]Cc1ccc(-c2cc(Cl)ccc2Cl)o1
160850312_48		41	C15H23BrO2	C/C(Br)=C\CC/C(C)=C/CC(C)(C)/C=C/C(=O)O
160854154_18		49	C23H20N4O2	CNCCc1cn(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc12
160867942_43		28	C10H9BrFN3O2S2	NC(=S)N/N=C1\CCS(=O)(=O)c2c(F)cc(Br)cc21
163341231_44		48	C18H21N3O4S2	CC(C)CS(=O)(=O)CC(NC(=O)c1cc2ccccc2s1)C(=O)NCC#N
163343378_15		50	C12H24O12S2	O=S(=O)([O-])O[C@@H]([C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO)[C@@H](O)[C@H](O)[C@H](O)CO
163354177_42		40	C15H21ClN2O	CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl
163364249_24		38	C11H24NO2	C[C@@H]1OC[C@@H](C[N+](C)(C)C)OC1(C)C
163641168_43		29	C13H12O2S2	CC#Cc1ccc(-c2ccc(C(O)CO)s2)s1
163643342_47		46	C20H21FN2O2	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#[N+][O-])ccc21
172113246_25		41	C15H22N2O2	O=C=N[C@H]1CC[C@@H](C[C@H]2CC[C@@H](N=C=O)CC2)CC1
252616178_31		45	C18H20N4O3	CC1=C(C#N)C(=O)N(CCCO)C(=O)/C1=N/c1ccc(N(C)C)cc1
252624376_4		28	C10H12N2OS3	CN1C(=O)/C(=C/C=C2\SCCN2C)SC1=S
252627168_23		20	C8H6ClN3S2	Sc1nnc(Nc2ccccc2Cl)s1
252627293_23		16	C5H4ClN3S3	Clc1nss/c1=N\C1=NCCS1
252631029_32		46	C18H22N6	CN1CCC2(CC1)C1CN(C)CCC1=C(C#N)C(=N)C2(C#N)C#N
252631276_11		43	C19H15BrN4O2S2	Cc1cc(C)c[n+](-c2nc3ccccc3nc2[N-]S(=O)(=O)c2ccc(Br)s2)c1
252634821_34		39	C21H12BrN3O2	N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(Br)cc1
252637148_27		43	C17H18N4O2S2	C=CCn1c(SCC(=O)C(C#N)C(C)=N)nc2sc(C)c(C)c2c1=O
252639090_30		46	C18H19NO8	COC(=O)C1=C(C(=O)OC)N2C=CC=CC2(C)C(C(=O)OC)=C1C(=O)OC
252648468_27		48	C18H25N5	CCCCNC1C(CC)C(CCC)C(C#N)(C#N)C1(C#N)C#N
252648739_32		38	C15H15Cl3N2O2S	O=[N+]([O-])/C(C(Sc1ccccc1)=[N+]1CCCCC1)=C(/Cl)[C-](Cl)Cl
252649952_44		47	C20H17N3O7	CCO[c-]1cc[c+]2[n-]c(COC(=O)c3cccc([N+](=O)[O-])c3)c(C(C)=O)[n+](=O)c2c1
252659018_19		29	C10H11N3OS4	CN(C)C(=S)N=c1ssc(=S)n1Cc1ccco1
252662250_32		28	C8H16N2O2	CC1=[N+]([O-])C(C)(C)N(O)C1(C)C
252663909_13		48	C24H17N5OS	N#C[C-](C#N)C1=NC(O)(c2ccccc2)C([n+]2ccccc2)C(c2cccs2)C1C#N
252826985_43		48	C20H16BrF3N4O2S2	O=C(c1[nH]nc2c1CSc1sc(Br)cc1-2)N1CCN(c2ccc(OC(F)(F)F)cc2)CC1
295370531_10		22	C10Cl12	ClC1=C(Cl)[C@@]2(Cl)[C@@]3(Cl)C(Cl)=C(Cl)[C@](Cl)(C3(Cl)Cl)[C@@]2(Cl)C1(Cl)Cl
295370717_34		37	C14H22O	CC(=O)/C=C/C1=C(C)CCC(C)C1(C)C
311420982_11		37	C17H12ClF2NO3S	O=S(=O)(c1ccc(F)c(F)c1)c1cc(Cl)c2oc3c(c2c1)CNCC3
313072496_7		35	C18H13N3O	Cc1cccc(C#Cc2ncn3c2COc2ccccc2-3)n1
313073240_29		45	C20H23N2	C#CC[NH+](C)CC(=C)c1cccc(CNc2ccccc2)c1
313633599_21		48	C21H20F2N4O	Cc1cc(Nc2cc(C(F)F)ccn2)nc(-c2ccc(C3(O)CCC3)nc2)c1
318151239_28		25	C14H7NO3	C#COc1ccc2nc3ccc(=O)cc-3oc2c1
318471581_19		37	C15H14N4O3S	N=C1/C(=C/C2=COC3CCCCC3C2=O)C(=O)N=C2SC=NN12
318488447_24		50	C18H28N4	CCCc1n(C)c2cc3c(cc2[n+]1C)n(C)c(CCC)[n+]3C
318491279_34		42	C20H17FO3S	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
319493091_16		39	C18H16FN3O	CC(C)(C)c1nc2c([nH]1)C1=CC=NC(=O)C1=C1C=C(F)C=CC12
336285215_34		49	C18H21N5O3S2	C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3coc(C4CC4)n3)cs2)CO1
341095077_17		47	C19H19ClN4O2S2	CN1C(=N)N[C@](C)(c2sc(-c3ccc(-c4ccccc4)[nH]3)cc2Cl)CS1(=O)=O
363714589_9		6	CHN3O	N#CNN=O
363892743_17		48	C20H22BrN5	CC(C)c1ccc(C2c3nnnn3CCN2Cc2cccc(Br)c2)cc1
373986921_15		45	C17H20N6OS	COC1=CC=C(C)N2N=C(CCc3nc(-c4cncs4)cn3C)NC12
375563688_29		20	C7F12O	O=C(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
375980992_26		40	C15H16Br2N6O	Brc1cc(Br)n2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12
375982521_44		38	C16H11N5O4S2	NS(=O)(=O)c1ccc(-c2nc3scc(-c4ccc([N+](=O)[O-])cc4)n3n2)cc1
376071128_4		41	C15H19N3O3S	CN(C)Cc1cc(OC/C=C\C/N=c2/c(O)c(O)c2=N)cs1
378171193_45		34	C16H13FN4	C=Cc1cc(-c2nc3ccc(F)cc3n2C2CC2)cnn1
384224028_37		47	C16H21F3N4O2S	CSC1NC(=O)C2C(CO)NN([C@@H](C)c3ccc(C(F)(F)F)cc3)C2N1
384226020_36		48	C19H18N10O	N#CCC1CCN(C2=NC3=CN=NC(=O)C3C(Nc3ccc4nn[nH]c4c3)=N2)CC1
384578879_0		20	C5H9NO4S	[NH3+][C@@H]1CC(C(=O)[O-])S(=O)(=O)C1
386403613_13		42	C18H17N3O4	CC1Cc2ccc(OC(=O)c3ccc(NC(=N)N)cc3)cc2OC1=O
404339337_44		38	C18H9BrN8O2	O=C1N=C2C=C/C(=N/c3nc(/N=C4\C=CC5=NC(=O)NC5=C4)ncc3Br)C=C2N1
405266214_43		40	C15H15N9O	Cc1nc2nonc2c(N)c1Cc1ncc(C#N)c(/N=C/N(C)C)n1
433934074_33		35	C11H15NO2S6	COc1c(OC)c2c(c(CCN)c1SC)SSSSS2
433935132_17		32	C15H9N3O3S2	O=S1(=O)C=C(Sc2nnc(-c3cccnc3)o2)c2ccccc21
440721438_34		40	C11H19ClN6O3	[N-]=[N+]=NCCOCCOCCOCCn1nncc1CCl
440971005_12		43	C19H12Cl2FN7O2	O=C(NCc1ncn2ccc(Cl)c(F)c12)c1cn(CC2=CN3C=C=C(Cl)C=C3O2)nn1
442140553_1		37	C13H15I3N2O4	O=C(CCCCCONC(=O)c1cc(I)cc(I)c1I)NO
442144233_24		50	C23H18ClN7O	N#CCCCn1c(Cn2c(=O)n(-c3ccncn3)c3ccncc32)cc2cc(Cl)ccc21
46512429_36		31	C12H15N3O	N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]1C[C@@H]2C[C@@H]2N1
85240538_26		16	C4H4N6O2	Nc1nnc(-c2nonc2N)o1
abemaciclib	abemaciclib	69	C27H32F2N8	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
acalabrutinib	acalabrutinib	58	C26H23N7O2	CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5
apalutamide	apalutamide	48	C21H15F4N5O2S	CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F
apixaban	apixaban	59	C25H25N5O4	COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
brexpiprazole	brexpiprazole	58	C25H27N3O2S	C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4
cariprazine	cariprazine	60	C21H32Cl2N4O	CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
dapagliflozin	dapagliflozin	53	C21H25ClO6	CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl
empagliflozin	empagliflozin	58	C23H27ClO7	C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl
enzalutamide	enzalutamide	48	C21H16F4N4O2S	CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
ibrutinib	ibrutinib	57	C25H24N6O2	C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
lenalidomide	lenalidomide	32	C13H13N3O3	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
lenvatinib	lenvatinib	49	C21H19ClN4O4	COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl
lisdexamphetamine	lisdexamphetamine	44	C15H25N3O	CC(CC1=CC=CC=C1)NC(=O)C(CCCCN)N
nintedanib	nintedanib	73	C31H33N5O4	CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O
olaparib	olaparib	55	C24H23FN4O3	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
osimertinib	osimertinib	70	C28H33N7O2	CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
palbociclib	palbociclib	62	C24H29N7O2	CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
paliperidone_palmitate	paliperidone_palmitate	105	C39H57FN4O4	CCCCCCCCCCCCCCCC(=O)OC1CCCN2C1=NC(=C(C2=O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F)C
pomalidomide	pomalidomide	31	C13H11N3O4	C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
ribociclib	ribociclib	62	C23H30N8O	CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5
rivaroxaban	rivaroxaban	47	C19H18ClN3O5S	C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
tafamidis	tafamidis	27	C14H7Cl2NO3	C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl
upadacitinib	upadacitinib	46	C17H19F3N6O	CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F
venetoclax	venetoclax	111	C45H50ClN7O7S	CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
zanubrutinib	zanubrutinib	64	C27H29N5O3	C=CC(=O)N1CCC(CC1)C2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N
